camera_site,filename,class_id,prob,class_name,count,rand_name,conf,expert_updated,event,timestamp,flash_fired
cam_4,I__00187-0.JPG,8,0.9974281,superb_lyrebird,1,XA8tviT4Vw5BtMny.JPG,0.958,0,5,6/08/2023 7:51:32,1
cam_4,I__00188-0.JPG,4,0.91461205,brushtail_possum,1,3qJ1w8bExjhR2o39.JPG,0.596,0,6,6/08/2023 17:52:14,1
cam_4,I__00189-0.JPG,4,0.9607137,brushtail_possum,1,rV7gQsM2tn94hdT1.JPG,0.794,0,7,7/08/2023 18:00:58,1
cam_4,I__00200-0.JPG,4,0.9498424,brushtail_possum,1,QkJ3INUOkmL7M4sb.JPG,0.891,0,8,12/08/2023 5:23:44,1
cam_4,I__00206-0.JPG,1,0.9994523,tasmanian_pademelon,1,FSEFZM2tc8LMeNqM.JPG,0.936,0,9,13/08/2023 20:43:52,1
cam_4,I__00207-0.JPG,1,0.9925385,tasmanian_pademelon,1,nKF057EeXPfhpkTG.JPG,0.925,0,9,13/08/2023 20:45:26,1
cam_4,I__00209.JPG,8,1,superb_lyrebird,1,none,0,4,10,15/08/2023 9:37:58,1
cam_4,I__00212-0.JPG,2,0.919571,bennetts_wallaby,1,GYZWRUz1XVpXHu87.JPG,0.915,0,11,25/08/2023 7:18:10,1
cam_4,I__00216-0.JPG,2,0.9962352,bennetts_wallaby,1,cLX9KGPWAt1DDkhl.JPG,0.931,0,12,29/08/2023 18:03:04,1
cam_4,I__00217-0.JPG,4,0.993932,brushtail_possum,1,hlnsMVc4fSQdWdjt.JPG,0.918,0,13,29/08/2023 18:36:20,1
cam_4,I__00218-0.JPG,1,0.5932887,tasmanian_pademelon,1,cVSBELA9p0awmbhq.JPG,0.894,0,14,30/08/2023 9:52:10,1
cam_4,I__00219-0.JPG,4,0.99563473,brushtail_possum,1,1U0EKdeENEVg6sf9.JPG,0.78,0,15,30/08/2023 18:28:46,1
cam_4,I__00220-0.JPG,4,0.997113,brushtail_possum,1,cg398LZlecU4rc8J.JPG,0.961,0,16,6/09/2023 18:55:06,1
cam_4,I__00221-0.JPG,16,0.99527365,bassian_thrush,1,P0uifUYp3ELnBS3v.JPG,0.97,0,17,8/09/2023 8:51:32,1
cam_4,I__00222-0.JPG,4,0.8581394,brushtail_possum,1,f20V0mDL8F5Hpwiy.JPG,0.205,0,18,8/09/2023 18:37:12,1
cam_4,I__00223-0.JPG,1,0.9979898,tasmanian_pademelon,1,nqZf8GeQeRVp9XrS.JPG,0.877,0,19,13/09/2023 17:43:12,1
cam_4,I__00226-0.JPG,8,0.99652183,superb_lyrebird,1,P0lnrfrFrjs8HKtk.JPG,0.934,0,20,22/09/2023 18:02:50,1
